973.0	92.78	104.98
974.0	93.09	105.86
975.0	93.39	106.74
976.0	93.70	107.63
977.0	94.01	108.51
978.0	94.31	109.40
979.0	94.62	110.28
980.0	94.93	111.17
981.0	95.25	112.06
982.0	95.56	112.95
983.0	95.87	113.84
984.0	96.19	114.73
985.0	96.51	115.62
986.0	96.82	116.52
987.0	97.14	117.41
988.0	97.46	118.31
989.0	97.78	119.20
990.0	98.10	120.10
991.0	98.43	121.00
992.0	98.75	121.90
993.0	99.08	122.80
994.0	99.40	123.70
995.0	99.73	124.60
996.0	100.06	125.50
997.0	100.39	126.41
998.0	100.72	127.31
999.0	101.05	128.22
1000.0	101.38	129.13
1001.0	101.72	130.04
1002.0	102.05	130.95
1003.0	102.39	131.86
1004.0	102.73	132.77
1005.0	103.07	133.68
1006.0	103.41	134.60
1007.0	103.75	135.51
1008.0	104.09	136.43
1009.0	104.44	137.35
1010.0	104.78	138.27
1011.0	105.13	139.19
1012.0	105.47	140.11
1013.0	105.82	141.03
1014.0	106.17	141.95
1015.0	106.53	142.88
1016.0	106.88	143.81
1017.0	107.23	144.73
1018.0	107.59	145.66
1019.0	107.94	146.59
1020.0	108.30	147.52
1021.0	108.66	148.46
1022.0	109.02	149.39
1023.0	109.38	150.32
1024.0	109.75	151.26
1025.0	110.11	152.20
1026.0	110.47	153.14
1027.0	110.84	154.08
1028.0	111.21	155.02
1029.0	111.58	155.96
1030.0	111.95	156.90
1031.0	112.32	157.85
1032.0	112.70	158.80
1033.0	113.07	159.74
1034.0	113.45	160.69
1035.0	113.83	161.64
1036.0	114.20	162.60
1037.0	114.59	163.55
1038.0	114.97	164.50
1039.0	115.35	165.46
1040.0	115.74	166.42
1041.0	116.12	167.38
1042.0	116.51	168.34
1043.0	116.90	169.30
1044.0	117.29	170.27
1045.0	117.68	171.23
1046.0	118.07	172.20
1047.0	118.47	173.17
1048.0	118.87	174.13
1049.0	119.26	175.11
1050.0	119.66	176.08
1051.0	120.06	177.05
1052.0	120.47	178.03
1053.0	120.87	179.01
1054.0	121.27	179.98
1055.0	121.68	180.97
1056.0	122.09	181.95
1057.0	122.50	182.93
1058.0	122.91	183.92
1059.0	123.32	184.90
1060.0	123.74	185.89
1061.0	124.15	186.88
1062.0	124.57	187.87
1063.0	124.99	188.87
1064.0	125.41	189.86
1065.0	125.84	190.86
1066.0	126.26	191.86
1067.0	126.69	192.86
1068.0	127.11	193.86
1069.0	127.54	194.86
1070.0	127.97	195.87
1071.0	128.40	196.88
1072.0	128.84	197.88
1073.0	129.27	198.90
1074.0	129.71	199.91
1075.0	130.15	200.92
1076.0	130.59	201.94
1077.0	131.03	202.96
1078.0	131.48	203.98
1079.0	131.92	205.00
1080.0	132.37	206.02
1081.0	132.82	207.05
1082.0	133.27	208.07
1083.0	133.72	209.10
1084.0	134.18	210.13
1085.0	134.64	211.17
1086.0	135.09	212.20
1087.0	135.55	213.24
1088.0	136.02	214.28
1089.0	136.48	215.32
1090.0	136.94	216.36
1091.0	137.41	217.40
1092.0	137.88	218.45
1093.0	138.35	219.50
1094.0	138.82	220.55
1095.0	139.30	221.60
1096.0	139.78	222.66
1097.0	140.25	223.71
1098.0	140.73	224.77
1099.0	141.22	225.83
1100.0	141.70	226.89
1101.0	142.19	227.96
1102.0	142.68	229.03
1103.0	143.17	230.10
1104.0	143.66	231.17
1105.0	144.15	232.24
1106.0	144.65	233.32
1107.0	145.15	234.39
1108.0	145.65	235.47
1109.0	146.15	236.56
1110.0	146.65	237.64
1111.0	147.16	238.73
1112.0	147.67	239.82
1113.0	148.18	240.91
1114.0	148.69	242.00
1115.0	149.20	243.10
1116.0	149.72	244.20
1117.0	150.24	245.30
1118.0	150.76	246.40
1119.0	151.28	247.50
1120.0	151.81	248.61
1121.0	152.34	249.72
1122.0	152.86	250.83
1123.0	153.40	251.95
1124.0	153.93	253.07
1125.0	154.47	254.19
1126.0	155.00	255.31
1127.0	155.54	256.43
1128.0	156.09	257.56
1129.0	156.63	258.69
1130.0	157.18	259.82
1131.0	157.73	260.96
1132.0	158.28	262.09
1133.0	158.84	263.23
1134.0	159.39	264.38
1135.0	159.95	265.52
